data-center-1-ObjectiveFunction,data-center-2-ObjectiveFunction,data-center-3-ObjectiveFunction,DataCenterID
1447,1427,1413,3
2245,2194,2226,2
893,924,887,3
1673,1619,1592,3
1854,1836,1801,3
390,364,436,2
2165,2136,2114,3
1588,1524,1592,2
1673,1657,1685,2
2424,2340,2407,2
71,0,0,2
3725,3652,3650,3
523,535,520,3
2567,2583,2576,1
2165,2194,2226,1
1335,1338,1314,3
2481,2432,2503,2
666,716,626,3
3480,3423,3409,3
326,364,309,3
2165,2136,2148,2
3725,3750,3703,3
1144,1116,1083,3
2888,2897,2923,1
1588,1524,1511,3
3055,3067,3061,1
3120,3067,3061,3
1701,1743,1705,1
3950,3891,3901,2
3396,3378,3310,3
1257,1239,1242,2
2870,2897,2842,3
3547,3522,3586,2
3725,3750,3717,3
1854,1782,1801,2
1257,1338,1242,3
2870,2799,2801,2
1447,1356,1380,2
3396,3423,3409,1
523,535,553,1
1144,1160,1179,1
124,165,143,1
1462,1462,1511,1
2333,2328,2407,2
3211,3198,3216,2
2165,2136,2098,3
3725,3750,3761,1
2165,2194,2148,3
2567,2509,2576,2
173,165,174,2
1854,1916,1881,1
1701,1743,1685,3
2424,2432,2503,1
3862,3849,3837,3
1884,1916,1951,1
2567,2509,2503,3
1755,1782,1771,1
712,716,744,1
1312,1338,1314,1
2784,2719,2801,2
2970,2897,2923,2
2784,2799,2801,1
3761,3750,3761,2
2333,2340,2407,1
604,620,626,1
71,93,16,3
3950,3953,3917,3
2599,2583,2669,2
3862,3849,3901,2
2076,2038,2032,3
3309,3293,3293,2
1335,1338,1380,1
326,276,309,2
1074,1032,1083,2
0,0,0,1
124,93,88,3
1257,1189,1242,2
3547,3522,3501,3
3309,3378,3310,1
2481,2509,2503,1
2599,2583,2576,3
1172,1160,1179,2
3725,3675,3703,2
2687,2719,2683,3
1488,1524,1511,1
3638,3652,3650,1
666,716,651,3
2970,2946,2923,3
1957,1967,2032,1
3609,3606,3650,2
3309,3237,3293,2
3807,3849,3804,3
3211,3198,3194,3
3887,3891,3901,1
795,812,792,3
3725,3652,3703,2
982,1009,992,1
270,263,241,3
270,263,174,3
2870,2897,2821,3
3309,3378,3293,3
3807,3849,3837,1
326,364,343,1
3309,3237,3216,3
3609,3652,3650,1
3761,3849,3761,1
443,467,436,3
1673,1619,1685,2
3120,3113,3194,2
2245,2255,2320,1
3120,3087,3075,3
2424,2432,2407,3
124,93,143,2
3055,3028,2978,3
982,924,953,2
2687,2648,2669,2
3120,3067,3075,2
3396,3378,3363,3
1673,1668,1685,2
3862,3891,3901,1
893,824,887,2
1957,1926,1951,2
173,165,143,3
2870,2897,2801,3
3950,3953,3901,3
2970,2946,2978,2
390,467,436,1
1351,1338,1380,2
2076,2136,2098,1
795,812,744,3
2970,3028,2978,1
443,467,520,1
2002,1998,2032,2
893,812,806,3
2567,2544,2576,2
1447,1427,1511,2
604,620,553,3
1854,1836,1881,2
3120,3198,3194,1
2333,2328,2320,3
666,716,744,1
1257,1189,1179,3
1172,1189,1179,1
3795,3849,3804,1
173,263,174,1
1074,1009,992,3
3609,3606,3586,3
795,716,744,2
982,1009,953,3
2333,2255,2320,2
2687,2719,2669,3
2784,2719,2704,3
893,812,887,2
2687,2719,2704,1
2002,2038,2032,1
3480,3522,3501,1
1755,1743,1705,3
1588,1619,1592,1
893,924,953,1
1957,1967,1951,3
3120,3113,3101,3
1447,1462,1511,1
2076,2038,2098,2
71,93,88,1
523,467,520,2
3547,3522,3514,3
326,288,309,2
1074,1116,1083,1
1488,1476,1511,2
3396,3378,3409,2
3547,3606,3586,1
666,620,626,2
1144,1116,1179,2
270,276,309,1
2245,2255,2226,3
2599,2648,2669,1
2870,2897,2923,1
1488,1462,1511,2
604,535,553,2
1884,1916,1881,3
390,364,343,3
3120,3087,3101,2
3480,3423,3501,2
1351,1356,1380,1
71,93,0,3
1074,1009,1083,2
1673,1743,1685,1
1257,1338,1314,1
390,386,436,2
1755,1743,1771,2
2002,1967,2032,2
1854,1782,1771,3
795,812,806,1
523,504,520,2
1957,1916,1951,2
3211,3237,3216,1
1447,1427,1380,3
3795,3849,3761,3
3055,3028,3061,2
270,263,309,2
